listing_id,host_name,last_review,price,nbhood_full,monthly_price,description,room_type,borough,price_range,labels
33996358,Maria,2019-05-30,50.0,"Brooklyn, Bushwick",1500.0,Paper moon private room. Best Bushwick location!,private room,Brooklyn,$0-69,Budget
33996365,Jessie,2019-06-15,59.0,"Manhattan, Gramercy",1770.0,Queen Bedroom in Modern Manhattan Apartment,private room,Manhattan,$0-69,Budget
33996948,Arya,2019-06-06,250.0,"Manhattan, Chelsea",7500.0,Lovely Hudson Yards Stonehouse near Penn Station,entire home/apt,Manhattan,$176-350,Expensive
33997927,Miguelina,2019-06-23,65.0,"Queens, Woodhaven",1950.0,Private Room in Queens NYC,private room,Queens,$0-69,Budget
33998142,Sonder (Nyc),2019-06-12,616.0,"Manhattan, Financial District",18480.0,Sonder | Wall Street | Superior 3BR + Rooftop,private room,Manhattan,>$350,Extravagant
33998269,Sonder (Nyc),2019-06-22,408.0,"Manhattan, Financial District",12240.0,Sonder | Stock Exchange | Superior 2BR + Sofa Bed,entire home/apt,Manhattan,>$350,Extravagant
33998274,Benjamin,2019-07-01,100.0,"Manhattan, Chelsea",3000.0,Affordable Studio Close to All the Action,entire home/apt,Manhattan,$70-175,Average
33998291,Sonder (Nyc),2019-06-15,264.0,"Manhattan, Financial District",7920.0,Sonder | Wall Street | Superior 1BR + Rooftop,private room,Manhattan,$176-350,Expensive
33999088,Jean Paul,2019-04-21,75.0,"Brooklyn, Gowanus",2250.0,KingSize Dream Room,private room,Brooklyn,$70-175,Average
33999377,Meela,2019-06-02,50.0,"Queens, Astoria",1500.0,CLEAN & SPACIOUS ROOM  CLOSE TO MANHATTAN,private room,Queens,$0-69,Budget
33999874,Meela,2019-05-12,60.0,"Queens, Long Island City",1800.0,BRIGHT ROOM CLOSE TO MIDTOWN MANHATTAN,private room,Queens,$0-69,Budget
34000977,Kristi,2019-05-08,80.0,"Brooklyn, Midwood",2400.0,Ocean-themed Studio Minutes from the Beach!,entire home/apt,Brooklyn,$70-175,Average
34002121,Patricia,2019-06-28,49.0,"Queens, Bayside",1470.0,Pat's place (shared female only).,private room,Queens,$0-69,Budget
34010131,Ashley,2019-06-28,199.0,"Queens, Ozone Park",5970.0,Brand New & Beautiful. 1 min toTrain /15Min to JFK,entire home/apt,Queens,$176-350,Expensive
34013027,Roxanne,2019-06-15,239.0,"Manhattan, Chinatown",7170.0,Lower East/Little Italy 5BR Loft! Prime Downtown!,entire home/apt,Manhattan,$176-350,Expensive
34013205,Edyta,2019-05-27,118.0,"Brooklyn, Greenpoint",3540.0,cozy private studio in greenpoint..,entire home/apt,Brooklyn,$70-175,Average
34013223,Taio,2019-06-03,90.0,"Manhattan, Harlem",2700.0,ARTIST ABODE CLOSE TO APOLLO AND SCHOMBURG CENTRE,private room,Manhattan,$70-175,Average
34013463,Lisa,2019-07-06,91.0,"Brooklyn, Crown Heights",2730.0,Beautiful Brooklyn Brownstone,entire home/apt,Brooklyn,$70-175,Average
34014027,Dimitri,2019-05-23,90.0,"Brooklyn, Williamsburg",2700.0,Spacious Light-Filled Room in Williamsburg Loft,private room,Brooklyn,$70-175,Average
34015258,Jeanette,2019-06-26,69.0,"Brooklyn, Bushwick",2070.0,E & J private stay.,private room,Brooklyn,$0-69,Budget
34016163,Mohammad,2019-07-05,92.0,"Bronx, Fordham",2760.0,PRIVATE HOUSE VERY CLOSE TO SUBWAY LINE,entire home/apt,Bronx,$70-175,Average
34016570,Michael,2019-05-10,59.0,"Manhattan, Harlem",1770.0,== TRAVELHOLIC Rooms (Modern Decor / Clean) ==,private room,Manhattan,$0-69,Budget
34016888,Sheryl,2019-06-01,149.0,"Manhattan, Hell's Kitchen",4470.0,3BR Times Square Loft ! Heart of City!,entire home/apt,Manhattan,$70-175,Average
34017043,Sonder (Nyc),2019-06-23,396.0,"Manhattan, Financial District",11880.0,Sonder | Stock Exchange | Superior 2BR + Laundry,entire home/apt,Manhattan,>$350,Extravagant
34017119,Sonder (Nyc),2019-06-16,215.0,"Manhattan, Financial District",6450.0,Sonder | Stock Exchange | Dreamy Studio + Kitchen,entire home/apt,Manhattan,$176-350,Expensive
34017965,Nicholas,2019-07-07,99.0,"Brooklyn, Gravesend",2970.0,BRIGHT SUNNY ONE BEDROOM APT WITH TERRACE,entire home/apt,Brooklyn,$70-175,Average
34018291,Amy,2019-06-25,100.0,"Brooklyn, Williamsburg",3000.0,Laid Back Williamsburg Apartment,private room,Brooklyn,$70-175,Average
34019440,Emma,2019-04-28,180.0,"Manhattan, Chelsea",5400.0,Beautiful&Clean 1 KING BDR apt in Chelsea LONGTERM,entire home/apt,Manhattan,$176-350,Expensive
34019712,Ollie,2019-06-18,68.0,"Brooklyn, Crown Heights",2040.0,"Homey, Friendly Apt Share Next To Subway",private room,Brooklyn,$0-69,Budget
34019889,Elise,2019-07-06,169.0,"Manhattan, East Village",5070.0,"East Village 1BR - Sleek, Modern, Urban Oasis!",entire home/apt,Manhattan,$70-175,Average
34019915,Ollie,2019-05-25,66.0,"Brooklyn, Crown Heights",1980.0,"Homey, Friendly Apt Share Next to Subway",private room,Brooklyn,$0-69,Budget
34020040,Ollie,2019-05-21,68.0,"Brooklyn, Crown Heights",2040.0,"Homey, Friendly Apt Share Next To Subway",private room,Brooklyn,$0-69,Budget
34020097,Vita,2019-06-18,70.0,"Brooklyn, Crown Heights",2100.0,Cozy Room in Classic Crown Heights,private room,Brooklyn,$70-175,Average
34020964,Vernon,2019-05-15,40.0,"Brooklyn, East New York",1200.0,Newly Renovated Multimedia Studio,entire home/apt,Brooklyn,$0-69,Budget
34021170,Laura,2019-06-27,90.0,"Manhattan, Lower East Side",2700.0,HUGE Room. Lower East Side! Perfect location!,private room,Manhattan,$70-175,Average
34022109,Jhunior,2019-06-30,90.0,"Manhattan, Washington Heights",2700.0,Modern Studio in Washington Heights!,entire home/apt,Manhattan,$70-175,Average
